Row_Index,RunRow,TestScenario_ID,TestScenario_DetailedDescription,Address1,Address2,ApartmentNumber,POBox,City,StateProvince,PostalCode,Country,PrimaryAddress,AddressType,HttpStatus
1,TRUE,Addresses_Address1,CCS_Addresses_Address1,1445 Allens Bridge,,,,,,,,,,200
2,TRUE,Addresses_Address1,CCS_Addresses_Address1_Numeric,1234567890,,,,,,,,,,200
3,TRUE,Addresses_Address1,CCS_Addresses_Address1_Alphabetic,ABCDEFGH,,,,,,,,,,200
4,TRUE,Addresses_Address1,CCS_Addresses_Address1_AlphaNumeric,ABC12345,,,,,,,,,,200
5,TRUE,Addresses_Address1,CCS_Addresses_Address1_SpecialCharacter,#$%*()#$,,,,,,,,,,200
6,TRUE,Addresses_Address1,CCS_Addresses_Address1_SpecialChar,123-Road1#$%,,,,,,,,,,200
7,TRUE,Addresses_Address1,CCS_Addresses_Address1_SpecialCharHyphen,abcd-ed-gh,,,,,,,,,,200
8,TRUE,Addresses_Address1,CCS_Addresses_Address1_Characters_20,TENCHARACTTENCHARACT,,,,,,,,,,200
9,TRUE,Addresses_Address1,CCS_Addresses_Address1_MaxLimit_30,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,,200
10,TRUE,Addresses_Address2,CCS_Addresses_Address2,,1445 Allens Bridge,,,,,,,,,200
11,TRUE,Addresses_Address2,CCS_Addresses_Address2_Numeric,,1234567890,,,,,,,,,200
12,TRUE,Addresses_Address2,CCS_Addresses_Address2_Alphabetic,,ABCDEFGH,,,,,,,,,200
13,TRUE,Addresses_Address2,CCS_Addresses_Address2_AlphaNumeric,,ABC12345,,,,,,,,,200
14,TRUE,Addresses_Address2,CCS_Addresses_Address2_SpecialCharacter,,#$%*()#$,,,,,,,,,200
15,TRUE,Addresses_Address2,CCS_Addresses_Address2_SpecialChar,,123-Road1#$%,,,,,,,,,200
16,TRUE,Addresses_Address2,CCS_Addresses_Address2_SpecialCharHyphen,,abcd-ed-gh,,,,,,,,,200
17,TRUE,Addresses_Address2,CCS_Addresses_Address2_Characters_20,,TENCHARACTTENCHARACT,,,,,,,,,200
18,TRUE,Addresses_Address2,CCS_Addresses_Address2_MaxLimit_30,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,,,200
19,TRUE,Addresses_ApartmentNumber,CCS_Addresses_ApartmentNumber_Numeric,,,123456,,,,,,,,200
20,TRUE,Addresses_POBox,CCS_Addresses_POBox,,,,1445A,,,,,,,200
21,TRUE,Addresses_POBox,CCS_Addresses_POBox_Numeric,,,,123456,,,,,,,200
22,TRUE,Addresses_POBox,CCS_Addresses_POBox_Alphabetic,,,,ABCDEF,,,,,,,200
23,TRUE,Addresses_POBox,CCS_Addresses_POBox_AlphaNumeric,,,,ABC123,,,,,,,200
24,TRUE,Addresses_POBox,CCS_Addresses_POBox_SpecialCharacter,,,,#$%*(),,,,,,,200
25,TRUE,Addresses_POBox,CCS_Addresses_POBox_SpecialChar,,,,1-Rd#$,,,,,,,200
26,TRUE,Addresses_POBox,CCS_Addresses_POBox_SpecialCharHyphen,,,,ab-e-g,,,,,,,200
27,TRUE,Addresses_POBox,CCS_Addresses_POBox_Characters_5,,,,TENCH,,,,,,,200
28,TRUE,Addresses_POBox,CCS_Addresses_POBox_MaxLimit_6,,,,TENCHA,,,,,,,200
29,TRUE,Addresses_City,CCS_Addresses_City,,,,,1445 Allens Bridge,,,,,,200
30,TRUE,Addresses_City,CCS_Addresses_City_Numeric,,,,,1234567890,,,,,,200
31,TRUE,Addresses_City,CCS_Addresses_City_Alphabetic,,,,,ABCDEFGH,,,,,,200
32,TRUE,Addresses_City,CCS_Addresses_City_AlphaNumeric,,,,,ABC12345,,,,,,200
33,TRUE,Addresses_City,CCS_Addresses_City_SpecialCharacter,,,,,#$%*()#$,,,,,,200
34,TRUE,Addresses_City,CCS_Addresses_City_SpecialChar,,,,,123-Road1#$%,,,,,,200
35,TRUE,Addresses_City,CCS_Addresses_City_SpecialCharHyphen,,,,,abcd-ed-gh,,,,,,200
36,TRUE,Addresses_City,CCS_Addresses_City_Characters_19,,,,,TENCHARACTTENCHARAC,,,,,,200
37,TRUE,Addresses_City,CCS_Addresses_City_MaxLimit_20,,,,,TENCHARACTTENCHARACT,,,,,,200
38,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_TX,,,,,,TX,,,,,200
39,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_AZ,,,,,,AZ,,,,,200
40,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_AL,,,,,,AL,,,,,200
41,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_AK,,,,,,AK,,,,,200
42,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_AR,,,,,,AR,,,,,200
43,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_CA,,,,,,CA,,,,,200
44,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_CO,,,,,,CO,,,,,200
45,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_CT,,,,,,CT,,,,,200
46,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_DE,,,,,,DE,,,,,200
47,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_FL,,,,,,FL,,,,,200
48,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_GA,,,,,,GA,,,,,200
49,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_HI,,,,,,HI,,,,,200
50,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_ID,,,,,,ID,,,,,200
51,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_IL,,,,,,IL,,,,,200
52,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_IN,,,,,,IN,,,,,200
53,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_IA,,,,,,IA,,,,,200
54,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_KS,,,,,,KS,,,,,200
55,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_KY,,,,,,KY,,,,,200
56,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_LA,,,,,,LA,,,,,200
57,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_TN,,,,,,TN,,,,,200
58,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_NC,,,,,,NC,,,,,200
59,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_NY,,,,,,NY,,,,,200
60,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_WA,,,,,,WA,,,,,200
61,TRUE,Addresses_StateProvince,CCS_Addresses_StateProvince_WV,,,,,,WV,,,,,200
62,TRUE,Addresses_PostalCode,CCS_Addresses_PostalCode,,,,,,,999999999,,,,200
63,TRUE,Addresses_PostalCode,CCS_Addresses_PostalCode_Numeric,,,,,,,912345678,,,,200
64,TRUE,Addresses_PostalCode,CCS_Addresses_PostalCode_Characters_5,,,,,,,98765,,,,200
65,TRUE,Addresses_PostalCode,CCS_Addresses_PostalCode_MaxLimit_9,,,,,,,987654321,,,,200
66,TRUE,Addresses_Country,CCS_Addresses_Country,,,,,,,,USA,,,200
67,TRUE,Addresses_Country,CCS_Addresses_Country_Alphabetic,,,,,,,,ABC,,,200
68,TRUE,Addresses_Country,CCS_Addresses_Country_MaxLimit_3,,,,,,,,TEN,,,200
69,TRUE,Addresses_PrimaryAddress,CCS_Addresses_PrimaryAddress_0,,,,,,,,,0,,200
70,TRUE,Addresses_PrimaryAddress,CCS_Addresses_PrimaryAddress_1,,,,,,,,,1,,200
71,TRUE,Addresses_AddressType,CCS_Addresses_AddressType_1,,,,,,,,,,1,200
72,TRUE,Addresses_AddressType,CCS_Addresses_AddressType_2,,,,,,,,,,2,200
73,TRUE,Addresses_Null_Address1,CCS_Addresses_Null_Address1,,,,,,,,,,,200
74,TRUE,Addresses_Null_Address2,CCS_Addresses_Null_Address2,,,,,,,,,,,200
75,TRUE,Addresses_Null_ApartmentNumber,CCS_Addresses_Null_ApartmentNumber,,,,,,,,,,,200
76,TRUE,Addresses_Null_POBox,CCS_Addresses_Null_POBox,,,,,,,,,,,200
77,TRUE,Addresses_Null_Country,CCS_Addresses_Null_Country,,,,,,,,,,,200
78,TRUE,Addresses_Null_AddressType,CCS_Addresses_Null_AddressType,,,,,,,,,,,200
