Row_Index,RunRow,TestScenario_ID,TestScenario_DetailedDescription,PhoneNumber,PhoneExtension,PrimaryPhone,PrimaryPhone2,BestTimeToCall,PhoneType,ContactName,DoNotCall,HttpStatus
1,TRUE,PhoneNumbers_PhoneNumber,CCS_PhoneNumbers_PhoneNumber,9999999999,,,,,,,,200
2,TRUE,PhoneNumbers_PhoneNumber,CCS_PhoneNumbers_PhoneNumber_Numeric,1234567890,,,,,,,,200
3,TRUE,PhoneNumbers_PhoneNumber,CCS_PhoneNumbers_PhoneNumber_Alphabetic,ABCDEFGHIJ,,,,,,,,200
4,TRUE,PhoneNumbers_PhoneNumber,CCS_PhoneNumbers_PhoneNumber_AlphaNumeric,ABC12ABC12,,,,,,,,200
5,TRUE,PhoneNumbers_PhoneNumber,CCS_PhoneNumbers_PhoneNumber_SpecialCharacter,#$%*(#$%*(,,,,,,,,200
6,TRUE,PhoneNumbers_PhoneNumber,CCS_PhoneNumbers_PhoneNumber_SpecialChar,(9-9)99/99,,,,,,,,200
7,TRUE,PhoneNumbers_PhoneNumber,CCS_PhoneNumbers_PhoneNumber_SpecialCharHyphen,(9-9)99-99,,,,,,,,200
8,TRUE,PhoneNumbers_PhoneNumber,CCS_PhoneNumbers_PhoneNumber_Characters_5,a1$%c,,,,,,,,200
9,TRUE,PhoneNumbers_PhoneNumber,CCS_PhoneNumbers_PhoneNumber_MaxLimit_10,9876598765,,,,,,,,200
10,TRUE,PhoneNumbers_PhoneExtension,CCS_PhoneNumbers_PhoneExtension,,9999,,,,,,,200
11,TRUE,PhoneNumbers_PhoneExtension,CCS_PhoneNumbers_PhoneExtension_Numeric,,1234,,,,,,,200
12,TRUE,PhoneNumbers_PhoneExtension,CCS_PhoneNumbers_PhoneExtension_MaxLimit_4,,9876,,,,,,,200
13,TRUE,PhoneNumbers_PrimaryPhone,CCS_PhoneNumbers_PrimaryPhone_0,,,0,1,,,,,200
14,TRUE,PhoneNumbers_PrimaryPhone,CCS_PhoneNumbers_PrimaryPhone_1,,,1,0,,,,,200
15,TRUE,PhoneNumbers_BestTimeToCall,CCS_PhoneNumbers_BestTimeToCall_1,,,,,1,,,,200
16,TRUE,PhoneNumbers_BestTimeToCall,CCS_PhoneNumbers_BestTimeToCall_2,,,,,2,,,,200
17,TRUE,PhoneNumbers_BestTimeToCall,CCS_PhoneNumbers_BestTimeToCall_3,,,,,3,,,,200
18,TRUE,PhoneNumbers_DoNotCall,CCS_PhoneNumbers_DoNotCall_0,,,,,,,,0,200
19,TRUE,PhoneNumbers_DoNotCall,CCS_PhoneNumbers_DoNotCall_1,,,,,,,,1,200
20,TRUE,PhoneNumbers_PhoneType,CCS_PhoneNumbers_PhoneType_1,,,1,0,,1,,,200
21,TRUE,PhoneNumbers_PhoneType,CCS_PhoneNumbers_PhoneType_2,,,0,1,,2,,,200
22,TRUE,PhoneNumbers_PhoneType,CCS_PhoneNumbers_PhoneType_3,,,0,1,,3,,,200
23,TRUE,PhoneNumbers_ContactName,CCS_PhoneNumbers_ContactName_Numeric,,,,,,,123456,,200
24,TRUE,PhoneNumbers_ContactName,CCS_PhoneNumbers_ContactName_Alphabetic,,,,,,,A,,200
25,TRUE,PhoneNumbers_ContactName,CCS_PhoneNumbers_ContactName_AlphaNumeric,,,,,,,A1,,200
26,TRUE,PhoneNumbers_ContactName,CCS_PhoneNumbers_ContactName_SpecialCharacter,,,,,,,#,,200
27,TRUE,PhoneNumbers_ContactName,CCS_PhoneNumbers_ContactName_SpecialChar,,,,,,,/,,200
28,TRUE,PhoneNumbers_ContactName,CCS_PhoneNumbers_ContactName_SpecialCharHyphen,,,,,,,-,,200
29,TRUE,PhoneNumbers_ContactName,CCS_PhoneNumbers_ContactName_OverMaxLimit_2,,,,,,,12,,200
30,TRUE,PhoneNumbers_ContactName,CCS_PhoneNumbers_ContactName_MaxLimit_1,,,,,,,9,,200
31,TRUE,PhoneNumbers_Null_PhoneExtension,CCS_PhoneNumbers_Null_PhoneExtension,,,,,,,,,200
32,TRUE,PhoneNumbers_Null_BestTimeToCall,CCS_PhoneNumbers_Null_BestTimeToCall,,,,,,,,,200
33,TRUE,PhoneNumbers_Null_DoNotCall,CCS_PhoneNumbers_Null_DoNotCall,,,,,,,,,200
